;12:0;13:0iso;13:0;14:0iso;14:0;14:1w5;15:0iso;15:0anteiso;15:0;15:1w5;16:0iso;16:0;16:1w9;16:1w7;16:1w5;17:0iso;16:2w4;17:0;17:1w7;18:0iso;18:0;18:1w9;18:1w7;18:2w6;18:3w6;18:3w3;18:4w3;20:0;20:1w9;20:2w6;20:4w6;20:4w3;20:5w3;22:0;22:1w9;22:5w6;24:0;22:6w3;24:1w9;25:0;26:0
131;0.30;0.00;0.00;0.24;13.11;0.00;1.57;0.68;1.67;0.27;0.20;28.50;0.69;11.67;0.32;0.68;1.95;0.80;0.00;0.24;6.80;8.84;6.81;1.97;0.00;1.15;1.42;0.34;0.00;0.00;0.61;0.21;3.25;0.28;0.00;0.22;0.22;3.98;0.00;0.00;0.00
132;0.34;0.00;0.00;0.26;13.86;0.00;1.26;0.73;1.68;0.00;0.00;28.45;0.68;11.61;0.28;0.69;2.62;0.81;0.00;0.27;7.47;10.12;6.08;2.07;0.00;1.25;1.40;0.30;0.00;0.00;0.46;0.00;2.55;0.00;0.00;0.23;0.00;3.02;0.00;0.00;0.00
133;0.00;0.00;0.00;0.00;11.20;0.00;1.18;0.69;1.43;0.00;0.00;25.27;1.35;12.69;0.00;0.58;3.74;0.70;0.00;0.34;12.82;10.00;5.48;1.85;0.00;1.81;1.64;0.51;0.31;0.00;0.00;0.00;1.90;0.28;0.00;0.00;0.33;2.07;0.00;0.00;0.00
134;0.28;0.00;0.00;0.22;9.67;0.00;1.44;1.01;2.02;0.00;0.27;27.54;1.61;10.16;0.00;0.54;1.48;1.15;0.00;0.00;10.26;12.37;8.32;2.53;0.00;0.91;0.74;0.68;0.00;0.00;0.26;0.00;2.15;0.56;0.00;0.00;0.79;1.65;0.00;0.00;0.00
135;0.34;0.00;0.00;0.23;11.82;0.00;1.49;0.84;1.93;0.00;0.00;34.80;0.90;8.12;0.24;0.44;0.87;1.09;0.00;0.00;7.88;8.82;4.52;2.56;0.00;2.35;1.81;0.30;0.00;0.00;0.35;0.22;3.22;0.00;0.00;0.00;0.21;3.21;0.00;0.00;0.00
136;0.00;0.00;0.00;0.00;20.23;0.00;0.73;0.39;1.05;0.41;0.00;32.35;0.60;11.88;0.39;0.37;0.68;0.37;0.00;0.00;3.27;7.89;3.54;2.93;0.31;2.99;2.49;0.00;0.00;0.00;0.51;0.00;3.08;0.30;0.00;0.00;0.21;1.40;0.37;0.00;0.00
137;0.20;0.00;0.00;0.00;29.71;0.00;0.91;0.29;1.09;0.29;0.00;26.27;0.69;23.47;0.45;0.28;0.91;0.26;0.00;0.00;2.37;2.64;3.20;1.23;0.35;0.30;0.55;0.00;0.00;0.00;0.52;0.00;1.51;0.30;0.00;0.00;0.22;0.62;0.00;0.00;0.00
138;0.00;0.00;0.00;0.00;20.66;0.00;1.17;0.42;1.50;0.00;0.00;30.75;1.02;16.97;0.65;1.55;1.87;0.40;0.00;0.00;3.20;4.54;4.37;1.21;0.00;0.71;1.72;0.23;0.00;0.00;0.41;0.00;3.25;0.00;0.00;0.00;0.00;1.43;0.00;0.00;0.00
139;0.28;0.00;0.00;0.25;16.14;0.00;2.00;0.66;1.72;0.00;0.24;32.08;1.15;10.43;0.51;1.84;1.67;0.65;0.00;0.00;4.33;4.89;6.40;1.31;0.00;0.88;2.45;0.46;0.00;0.00;0.45;0.00;4.67;0.24;0.00;0.00;0.00;2.84;0.00;0.00;0.00
140;0.24;0.00;0.00;0.00;17.44;0.00;1.67;0.36;1.06;0.00;0.00;39.35;1.19;10.05;0.64;0.54;1.40;0.40;0.00;0.00;3.19;4.38;4.02;1.51;0.00;0.90;3.57;0.38;0.00;0.00;0.24;0.00;2.58;0.00;0.00;0.00;0.26;3.30;0.00;0.00;0.00
