;Sal;T (°C);pH;OD (mg/L);OD (% sat);MPS (mg/ L);Chl a (ug/m3);Feo (ug/m3);Clorf-a (ug/m3);Clorf-b (ug/m3);Clorf-c (ug/m3);PT (μmol/L);PDT (μmol/L);PO4 (μmol/L);SiO2 (μmol/L);NH4 (μmol/L);NO2 (μmol/L);NO3 + NO2 (μmol/L);NT (μmol/L);NDT (μmol/L);δ13CVPDB (‰);δ15NAir (‰);RAZÃO C/N
131;33.1;23.8;8.3;5.7;82.0;2.14;0.82;0.00;0.78;0.00;0.02;0.680;0.355;0.052;4.536;0.697;0.067;0.171;7.199;4.848;-23.43; 6.52 ; 7.36 
132;33.3;24.7;8.3;5.0;72.6;2.16;0.54;0.00;0.42;0.00;0.00;0.587;0.170;0.077;4.792;0.697;0.024;0.058;6.289;4.235;-23.56; 6.48 ; 5.36 
133;33.6;24.0;8.3;5.3;75.4;1.74;0.39;0.00;0.21;0.00;0.00;0.587;0.216;0.170;3.672;0.785;0.013;0.021;4.882;2.151;-24.27; 5.93 ; 6.80 
134;32.6;25.1;8.3;5.2;75.4;1.40;0.34;0.00;0.27;0.00;0.00;0.865;0.541;0.142;4.122;0.933;0.031;0.131;7.944;7.199;-23.19; 6.66 ; 7.24 
135;32.8;24.9;8.3;5.3;75.5;2.20;0.34;0.00;0.25;0.00;0.00;1.282;0.355;0.155;5.790;0.785;0.043;0.147;6.868;4.625;-22.23; 6.96 ; 5.57 
136;31.0;25.0;8.3;6.0;85.7;1.86;1.11;0.26;1.30;0.00;0.47;0.672;0.209;0.073;5.546;0.697;0.015;0.154;7.447;5.466;-22.13; 5.84 ; 6.49 
137;28.8;26.7;8.4;6.2;91.5;2.88;2.56;0.36;2.84;0.00;1.27;2.757;0.209;0.064;2.759;0.490;0.019;0.102;14.894;8.523;-20.61; 6.05 ; 7.55 
138;30.5;22.6;8.4;6.7;91.5;1.73;4.15;0.38;4.48;0.00;2.09;0.765;0.209;0.067;0.191;0.844;0.000;0.067;7.364;4.727;-18.63; 8.11 ; 5.84 
139;30.1;22.7;8.3;4.9;67.5;5.13;5.63;2.24;7.11;0.00;3.01;1.969;0.440;0.184;1.494;1.611;0.059;0.300;14.315;8.109;-18.49; 8.19 ; 5.28 
140;23.7;24.1;8.7;8.4;113.0;8.51;23.64;5.20;27.32;0.00;13.47;2.896;0.440;0.240;4.706;1.404;0.124;0.498;24.079;8.606;-15.50; 8.06 ; 5.36 
141;28.4;24.6;8.6;7.9;110.3;7.20;16.68;0.00;16.95;0.00;8.09;2.039;0.278;0.088;1.919;0.461;0.034;0.083;19.859;11.171;-16.81; 8.17 ; 6.79 
142;28.0;24.4;8.6;7.5;105.2;5.31;6.55;3.87;9.02;0.00;4.54;1.668;0.880;0.235;0.629;0.490;0.004;0.095;19.114;17.956;-16.48; 7.93 ; 8.25 
143;31.2;22.9;8.3;7.9;108.7;1.72;1.01;0.21;1.16;0.00;0.43;0.556;0.417;0.090;4.244;0.520;0.020;0.031;7.406;5.436;-21.73; 5.80 ; 5.82 
144;34.1;21.4;8.3;8.4;114.4;2.13;2.20;0.14;2.33;0.00;0.97;0.649;0.139;0.084;1.007;0.461;0.035;0.027;7.075;3.517;-20.63; 7.27 ; 6.49 
145;33.9;23.3;8.3;8.0;114.2;2.43;1.40;0.13;1.51;0.00;0.62;0.556;0.463;0.267;1.165;0.490;0.013;0.112;8.068;6.992;-20.75; 6.57 ; 6.26 
146;33.5;23.6;8.3;7.9;112.8;2.46;1.69;0.00;1.66;0.00;0.68;1.019;0.556;0.121;0.934;0.520;0.000;0.073;6.909;6.909;-20.45; 6.97 ; 6.05 
147;33.0;24.2;8.3;7.9;114.0;3.14;3.60;0.12;3.76;0.00;1.68;1.158;0.510;0.375;3.039;1.080;0.128;0.337;6.620;4.859;-19.67; 6.10 ; 5.74 
201;34.5;24.8;8.2;6.16;90.88;6.35;1.68;2.88;3.45;0.00;1.55;0.983;1.071;0.278;7.780;0.848;0.215;1.127;13.110;12.402;-22.29; 8.39 ; 7.26 
202;31.7;25.6;8.3;7.47;110.29;4.43;8.60;1.15;9.49;0.00;4.19;0.828;0.519;0.124;2.161;0.463;0.054;0.619;13.898;12.756;-19.84; 7.69 ; 6.22 
203;31.6;26.2;8.3;7.96;116.99;7.13;7.76;3.61;10.13;0.00;3.79;1.579;0.762;0.102;4.165;1.045;0.228;0.631;22.992;12.913;-19.05; 9.94 ; 5.71 
205;31.0;26.4;8.3;8.37;122.94;16.61;26.65;5.94;30.78;0.00;13.60;1.829;0.801;0.319;2.431;0.973;0.077;0.501;56.033;41.720;-19.07; 9.01 ; 6.11 
206;30.8;25.9;8.4;9.36;137.42;8.06;20.05;4.16;22.97;0.00;11.01;1.070;0.384;0.124;0.702;2.044;0.036;0.690;33.198;22.282;-18.01; 8.45 ; 7.07 
207;30.8;25.9;8.5;8.95;131.37;4.77;8.59;2.15;10.05;0.04;4.38;0.605;0.311;0.051;0.702;0.734;0.018;0.513;29.801;27.016;-18.43; 9.09 ; 6.68 
208;32.9;26.1;8.3;7.96;118.24;4.35;4.68;0.37;5.01;0.00;2.32;0.384;0.237;0.041;1.242;0.692;0.018;0.619;18.941;22.338;-19.98; 9.69 ; 6.21 
209;33.3;26.2;8.3;6.73;99.97;1.30;1.26;0.38;1.51;0.11;0.71;0.164;0.066;0.082;25.285;1.347;0.054;0.950;19.943;18.662;-22.18; 6.83 ; 6.14 
210;34.4;26.0;8.3;6.86;102.46;1.93;0.23;0.05;0.27;0.00;0.16;0.090;0.041;0.124;9.995;2.803;0.030;0.595;17.604;15.265;-22.68; 7.33 ; 7.07 
211;34.9;25.8;8.3;6.83;103.06;0.65;0.26;0.03;0.28;0.00;0.09;0.781;0.689;0.144;11.886;1.908;0.006;0.211;9.288;7.929;-24.68; 8.64 ; 8.79 
212;34.6;26.1;8.3;6.76;101.55;2.24;0.19;0.01;0.20;0.00;0.00;0.781;0.712;0.206;10.644;0.546;0.012;0.211;28.906;12.705;-23.16; 5.40 ; 7.13 
213;34.3;26.9;8.3;6.83;103.72;2.87;0.33;0.03;0.36;0.02;0.13;0.896;0.827;0.278;11.886;1.825;0.018;0.130;27.546;13.513;-22.62; 8.70 ; 6.90 
214;33.8;26.8;8.3;7.03;106.71;2.17;0.45;0.00;0.44;0.00;0.21;0.575;0.391;0.196;10.535;5.891;0.030;0.141;39.853;12.741;-20.71; 7.05 ; 7.20 
215;34.0;27.0;8.3;7.32;111.16;2.40;0.56;0.08;0.62;0.00;0.16;0.483;0.391;0.154;25.285;0.578;0.048;0.303;52.564;12.227;-23.90; 4.72 ; 6.65 
