;;;12:0;13:0iso;13:0;14:0iso;14:0;14:1w5;15:0iso;15:0anteiso;15:0;15:1w5;16:0iso;16:0;16:1w9;16:1w7;16:1w5;17:0iso;16:2w4;17:0;17:1w7;18:0iso;18:0;18:1w9;18:1w7;18:2w6;18:3w6;18:3w3;18:4w3;20:0;20:1w9;20:2w6;20:4w6;20:4w3;20:5w3;22:0;22:1w9;22:5w6;24:0;22:6w3;24:1w9;25:0;26:0
S1;BIG1;131;0.298311196;0;0;0.23690978;13.10564967;0;1.567061693;0.684217503;1.668230865;0.26893608;0.203823007;28.50171001;0.685702166;11.67040484;0.320793234;0.675839762;1.951271243;0.802990535;0;0.241045627;6.803679843;8.840743392;6.813648294;1.970147671;0;1.147856518;1.422094965;0.342851083;0;0;0.611150879;0.207216522;3.254911318;0.275829158;0;0.218139399;0.218351494;3.97677563;0;0;0
S1;BIG1;132;0.339036065;0;0;0.259471035;13.86235136;0;1.262310034;0.727044005;1.680226207;0;0;28.45265995;0.681154275;11.60667707;0.277735604;0.687318567;2.616741989;0.805809959;0;0.266548556;7.473062614;10.12188175;6.076622151;2.06960399;0;1.246100229;1.403632138;0.297027556;0;0;0.458554839;0;2.550761233;0;0;0.22944865;0;3.02050312;0;0;0
S1;BIG1;133;0;0;0;0;11.20140464;0;1.179464;0.693802353;1.426210342;0;0;25.2671826;1.350372936;12.68655384;0;0.576886352;3.735679164;0.696550085;0;0.344290831;12.82009362;9.996386732;5.483099387;1.846750738;0;1.810480675;1.636137073;0.508330437;0.311592819;0;0;0;1.897034235;0.282466859;0;0;0.333025129;2.071927383;0;0;0
S1;BIG1;134;0.278961314;0;0;0.217629394;9.665288818;0;1.441441441;1.007171878;2.022116234;0;0.26709062;27.5400106;1.605935347;10.1569334;0;0.536866278;1.482847553;1.146228582;0;0;10.25627981;12.36982865;8.315845257;2.529164459;0;0.914184773;0.739092033;0.682140964;0;0;0.256774421;0;2.149302243;0.561596891;0;0;0.786716128;1.646776188;0;0;0
S1;BIG1;135;0.337396331;0;0;0.232234858;11.82277268;0;1.485769037;0.83752199;1.928091229;0;0;34.80499183;0.897995728;8.115889671;0.241345187;0.444364162;0.867758859;1.086642372;0;0;7.879492335;8.82241141;4.516445715;2.564950364;0;2.34991518;1.8146048;0.296007163;0;0;0.34972669;0.216527394;3.217674039;0;0;0;0.213621513;3.209113471;0;0;0
S1;MIX1;136;0;0;0;0;20.23441383;0;0.727750558;0.38632186;1.050827548;0.407381198;0;32.35282615;0.59517701;11.88201288;0.39143627;0.371145765;0.675637053;0.372583148;0;0;3.265634804;7.891268297;3.538236237;2.925576633;0.309973402;2.985980163;2.487709536;0;0;0;0.509167999;0;3.075298499;0.29880861;0;0;0.209891404;1.402518496;0.373151416;0;0
S1;MIX1;137;0.201490735;0;0;0;29.708283;0;0.910112024;0.291839718;1.09423686;0.289014865;0;26.27064545;0.68803691;23.46646958;0.445470036;0.280262452;0.907727107;0.256714293;0;0;2.370746194;2.642094151;3.195649541;1.228347908;0.353870708;0.298322987;0.55008221;0;0;0;0.523014563;0;1.51479262;0.303185438;0;0;0.22226035;0.618689088;0;0;0
S1;SEP1;138;0;0;0;0;20.65836067;0;1.168105606;0.418653448;1.498654373;0;0;30.75159541;1.021639384;16.96689951;0.649600186;1.553329263;1.870256172;0.399595343;0;0;3.201636623;4.542577368;4.370804483;1.213345172;0;0.711710862;1.71941596;0.22907217;0;0;0.408843211;0;3.248813242;0;0;0;0;1.429045426;0;0;0
S1;SEP1;139;0.282141782;0;0;0.247510867;16.14355859;0;1.995313092;0.664226666;1.716891987;0;0.240527443;32.07618343;1.146941546;10.43134664;0.511220989;1.838300532;1.674190066;0.653980494;0;0;4.326402953;4.892632717;6.404257828;1.30704513;0;0.883345907;2.446030152;0.463481844;0;0;0.451003266;0;4.667388669;0.238981931;0;0;0;2.843741879;0;0;0
S1;SEP1;140;0.239588208;0;0;0;17.44188223;0;1.669064435;0.355290507;1.061779717;0;0;39.34670425;1.189931549;10.05456465;0.636319117;0.542338205;1.40257479;0.397732096;0;0;3.189996844;4.384237847;4.020197843;1.510964077;0;0.904985254;3.565789903;0.376228358;0;0;0.241416461;0;2.58432273;0;0;0;0.258262507;3.29612258;0;0;0
S1;SEP1;141;0.253386323;0;0;0;19.69057996;0;1.135665872;0.254790759;1.084028366;0;0;34.36539758;0.576275881;17.90390917;0.632975888;0.380504081;1.284830004;0.243163338;0;0;2.471349512;4.430994523;3.122158467;1.996976871;0.229510917;1.23022032;2.347073287;0.223109303;0;0;0.458662559;0;2.491958789;0;0;0.221247609;0;1.762860711;0;0;0
S1;SEP1;142;0.264276727;0;0;0;20.60435915;0;0.892785543;0.207433102;1.066793743;0;0;37.70258081;0.572410333;17.73616894;0.609560942;0.434772118;0.905736806;0.240751556;0;0;3.113802924;5.105423279;2.495477703;1.624230287;0;0.965596478;1.243605092;0.268321779;0;0;0;0;1.483185713;0;0;0;0;1.057958498;0;0;0
S1;BIG1;143;0.716985664;0.220237268;0;0.301341801;18.47051155;0;1.727351121;0.946534434;1.571349722;0.272867497;0.229683719;29.65470521;1.660686163;13.70869033;0.462471273;0.680144504;2.75458524;0.557475584;0;0.247497028;4.574106737;6.725873426;5.825221755;1.561903271;0;0.978382471;1.282288308;0;0;0;0;0;1.889155339;0;0;0;0;1.321423607;0;0;0
S1;MIX1;144;0.351147735;0;0;0.333537464;17.62560671;0;1.270107703;0.664007674;1.428282835;0;0;30.99391732;0.947622931;19.11475868;0.445227828;0.875542455;1.496872987;0.418785981;0;0.232053654;3.604023815;5.565004109;4.982437325;1.463238957;0;1.19808011;1.434417343;0.238241046;0;0;0.299480365;0;2.305570451;0;0;0;0;1.091678116;0;0;0
S1;MIX1;145;0.35246597;0;0;0.223223793;19.02673868;0;1.17463055;0.678469063;1.417544399;0;0;31.87198671;1.11144083;14.77906291;0.395546696;0.691595767;2.12275563;0.397711206;0;0.239981287;3.585475442;7.350395721;3.442966914;2.200747803;0;1.464325738;1.474868995;0.254504449;0;0;0.268608674;0;1.929136745;0.227413167;0;0;0.209049745;1.708566222;0;0;0
S1;MIX1;146;0.365537473;0;0;0;24.37031794;0;0.804224626;0.4528193;1.402330834;0.383592873;0;29.04810077;1.146855365;13.260763;0.296226675;0.681253855;0.874041651;0.452566187;0;0;3.870141178;6.282013531;3.241661401;2.168208828;0.292008123;1.659999949;1.755254838;0;0;0;0.464167203;0.200381188;2.921009314;0.202490464;0;0;0;1.603555733;0.301879533;0;0
S1;MIX1;147;0.359922307;0;0;0;26.97042197;0;1.006348166;0.471683544;1.264023852;0.353318879;0;26.69769331;0.60520769;12.87728737;0.285651497;0.796742593;0.837605739;0.57879398;0;0;4.706220251;5.108532303;3.713398461;1.746464592;0.309154019;1.16067666;1.414908622;0.262575003;0;0;0.547374445;0.208362993;3.315346685;0.268610394;0;0;0;2.164291149;0.485848961;0;0
S2;SEP2;202;0.461934899;0;0;0.227459181;13.03271711;0;1.540631149;0.373958314;1.065819747;0;0.268478938;30.97546833;0.231545735;20.89617375;0.381668795;1.214323606;2.234959936;0.511821709;0;0;4.649188549;5.988884571;3.226836174;1.54032273;0.289143026;0.720390212;1.25657704;0.23786833;0;0;0.713219465;0;4.725059679;0.269712615;0;0.374498048;0;1.521354947;0;0;0
S2;SEP2;203;0.407188091;0;0;0.280874653;15.97679813;0;1.557939449;0.463186128;1.407745308;0;0.243284658;35.23641896;0.519958076;16.02124277;0.413987458;1.020789478;1.406860837;0.65417647;0;0;4.626941413;3.749878385;4.899745273;1.190276132;0;0.668272718;1.110176275;0.269542375;0;0;0.514817092;0;3.632851887;0.288282093;0;0.333168969;0;1.872092303;0;0;0
S2;SEP2;205;0.915087688;0.207955029;0;0.426410872;15.78673078;0;2.334097819;0.827619788;1.827336266;0;0.237862905;29.78338374;0.389230209;17.86433647;0.583767529;0.569533091;2.396363762;0.423532871;0;0;2.41915442;4.100334898;6.830041198;1.180797199;0;1.80396223;2.689297608;0;0;0;0.544253351;0;3.253774751;0;0;0.217989141;0;1.154661837;0;0;0
S2;SEP2;206;0.350658452;0;0;0;16.74570035;0;0.859024148;0.327357141;1.076503051;0;0;35.2823897;0;26.05492452;0.486991561;0.50083219;2.170321488;0.223114433;0;0;2.047274214;2.929745671;2.126989225;1.015767804;0.211901772;0.906969954;1.356352381;0;0;0;0.414810056;0;2.668613309;0;0;0;0;0.827546938;0;0;0
S2;SEP2;207;0.393897194;0;0;0;14.77904524;0;0.820091904;0.286172556;0.990424035;0;0;39.1663862;0;22.47811057;0.46448797;0.331587832;1.004601816;0.246786149;0;0;2.821014122;3.692815177;2.162211045;1.210113396;0.242777944;1.171952638;1.783319774;0;0;0;0.442393157;0;2.775366966;0;0;0.220252497;0;1.107821365;0;0;0
S2;SEP2;208;0.498026517;0;0;0;18.63566685;0;0.854227772;0.379005378;0.900310205;0;0;31.39187915;1.15184528;21.18093455;0.375427416;0.650887421;1.562922997;0.415043651;0;0;3.755179424;4.223892513;3.689094888;1.289057987;0.295505217;0.876126627;1.355056308;0.213944915;0;0;0.49837138;0;2.791543593;0.223644211;0;0;0;1.18602991;0;0;0
S2;BIG2;209;1.170532462;0;0;0.581496952;9.39475659;0.237807239;1.275044289;0.805940384;1.695490229;0;0.322787348;26.53675218;1.930556174;7.723252682;0;0.469103905;0.705540497;0.641120093;0;0;13.95935347;18.37866177;7.981619625;2.117306816;0;0.375899915;0.505426048;0.426271189;0;0;0;0;0.547230779;0.331353891;0;0;0.302912967;0.549629411;0;0;0
